date,dayOfTheWeek,avgTotalScore,avgHomeScore,avgAwayScore,numberOfGames,avgHomeWins,avgAwayWins
2021-09-25,5,6.5,5.0,1.5,2,1.0,0.0
2021-09-26,6,6.0,2.7777777777777777,3.2222222222222223,9,0.4444444444444444,0.5555555555555556
2021-09-27,0,4.4,2.6,1.8,5,0.8,0.2
2021-09-28,1,6.142857142857143,3.5714285714285716,2.5714285714285716,7,0.5714285714285714,0.42857142857142855
2021-09-29,2,6.5,3.0,3.5,8,0.25,0.75
2021-09-30,3,6.666666666666667,3.6666666666666665,3.0,6,0.6666666666666666,0.3333333333333333
2021-10-01,4,7.0,4.666666666666667,2.3333333333333335,9,0.7777777777777778,0.2222222222222222
2021-10-02,5,5.5,3.0,2.5,10,0.6,0.4
2021-10-03,6,6.666666666666667,4.666666666666667,2.0,3,1.0,0.0
2021-10-04,0,5.75,2.875,2.875,8,0.5,0.5
2021-10-05,1,6.0,2.888888888888889,3.111111111111111,9,0.4444444444444444,0.5555555555555556
2021-10-06,2,7.0,3.8333333333333335,3.1666666666666665,6,0.6666666666666666,0.3333333333333333
2021-10-07,3,5.857142857142857,3.4285714285714284,2.4285714285714284,7,0.7142857142857143,0.2857142857142857
2021-10-08,4,7.333333333333333,5.0,2.3333333333333335,3,1.0,0.0
2021-10-09,5,6.0,3.4545454545454546,2.5454545454545454,11,0.5454545454545454,0.45454545454545453
2021-10-12,1,7.5,3.0,4.5,2,0.5,0.5
2021-10-13,2,5.0,3.6,1.4,5,1.0,0.0
2021-10-14,3,8.0,4.888888888888889,3.111111111111111,9,0.6666666666666666,0.3333333333333333
2021-10-15,4,6.333333333333333,3.0,3.3333333333333335,3,0.3333333333333333,0.6666666666666666
2021-10-16,5,5.0,2.9285714285714284,2.0714285714285716,14,0.6428571428571429,0.35714285714285715
2021-10-17,6,5.0,3.0,2.0,1,1.0,0.0
2021-10-18,0,6.5,3.25,3.25,4,0.25,0.75
2021-10-19,1,6.363636363636363,3.272727272727273,3.090909090909091,11,0.6363636363636364,0.36363636363636365
2021-10-20,2,6.5,3.5,3.0,2,0.5,0.5
2021-10-21,3,4.7,1.8,2.9,10,0.3,0.7
2021-10-22,4,6.5,2.5,4.0,4,0.25,0.75
2021-10-23,5,6.538461538461538,3.4615384615384617,3.076923076923077,13,0.46153846153846156,0.5384615384615384
2021-10-24,6,6.25,2.25,4.0,4,0.25,0.75
2021-10-25,0,6.428571428571429,3.857142857142857,2.5714285714285716,7,0.7142857142857143,0.2857142857142857
2021-10-26,1,5.714285714285714,2.5714285714285716,3.142857142857143,7,0.2857142857142857,0.7142857142857143
2021-10-27,2,5.6,2.6,3.0,5,0.2,0.8
2021-10-28,3,4.888888888888889,2.3333333333333335,2.5555555555555554,9,0.3333333333333333,0.6666666666666666
2021-10-29,4,5.666666666666667,3.3333333333333335,2.3333333333333335,6,0.6666666666666666,0.3333333333333333
2021-10-30,5,4.8,3.0,1.8,10,0.8,0.2
2021-10-31,6,5.0,2.6,2.4,5,0.6,0.4
2021-11-01,0,6.0,4.333333333333333,1.6666666666666667,3,1.0,0.0
2021-11-02,1,5.333333333333333,3.6666666666666665,1.6666666666666667,9,0.8888888888888888,0.1111111111111111
2021-11-03,2,7.0,3.75,3.25,4,0.5,0.5
2021-11-04,3,6.555555555555555,3.2222222222222223,3.3333333333333335,9,0.5555555555555556,0.4444444444444444
2021-11-05,4,6.2,3.8,2.4,5,0.8,0.2
2021-11-06,5,6.333333333333333,3.3333333333333335,3.0,12,0.4166666666666667,0.5833333333333334
2021-11-07,6,6.2,4.4,1.8,5,1.0,0.0
2021-11-08,0,7.0,3.3333333333333335,3.6666666666666665,3,0.6666666666666666,0.3333333333333333
2021-11-09,1,5.5,2.9,2.6,10,0.5,0.5
2021-11-10,2,5.333333333333333,1.3333333333333333,4.0,3,0.0,1.0
2021-11-11,3,5.7272727272727275,3.1818181818181817,2.5454545454545454,11,0.5454545454545454,0.45454545454545453
2021-11-12,4,4.2,2.2,2.0,5,0.6,0.4
2021-11-13,5,6.923076923076923,3.923076923076923,3.0,13,0.6923076923076923,0.3076923076923077
2021-11-14,6,6.666666666666667,4.0,2.6666666666666665,6,0.6666666666666666,0.3333333333333333
2021-11-15,0,6.5,4.5,2.0,2,1.0,0.0
2021-11-16,1,5.090909090909091,3.0,2.090909090909091,11,0.6363636363636364,0.36363636363636365
2021-11-17,2,4.666666666666667,1.3333333333333333,3.3333333333333335,3,0.0,1.0
2021-11-18,3,5.636363636363637,2.909090909090909,2.727272727272727,11,0.5454545454545454,0.45454545454545453
2021-11-19,4,7.5,3.0,4.5,2,0.5,0.5
2021-11-20,5,6.25,3.0,3.25,12,0.5,0.5
2021-11-21,6,5.142857142857143,2.2857142857142856,2.857142857142857,7,0.42857142857142855,0.5714285714285714
2021-11-22,0,7.0,3.6666666666666665,3.3333333333333335,6,0.6666666666666666,0.3333333333333333
2021-11-23,1,5.333333333333333,4.333333333333333,1.0,3,1.0,0.0
2021-11-24,2,6.0,3.0714285714285716,2.9285714285714284,14,0.5714285714285714,0.42857142857142855
2021-11-26,4,5.384615384615385,3.230769230769231,2.1538461538461537,13,0.6923076923076923,0.3076923076923077
2021-11-27,5,6.444444444444445,3.2222222222222223,3.2222222222222223,9,0.4444444444444444,0.5555555555555556
2021-11-28,6,5.333333333333333,2.5,2.8333333333333335,6,0.5,0.5
2021-11-29,0,4.5,1.75,2.75,4,0.25,0.75
2021-11-30,1,6.625,3.875,2.75,8,0.625,0.375
2021-12-01,2,8.166666666666666,4.833333333333333,3.3333333333333335,6,0.8333333333333334,0.16666666666666666
2021-12-02,3,5.6,2.8,2.8,10,0.4,0.6
2021-12-03,4,7.0,3.4,3.6,5,0.6,0.4
2021-12-04,5,6.6,3.7,2.9,10,0.8,0.2
2021-12-05,6,7.166666666666667,3.1666666666666665,4.0,6,0.5,0.5
2021-12-06,0,6.666666666666667,3.3333333333333335,3.3333333333333335,6,0.5,0.5
2021-12-07,1,6.5,2.6,3.9,10,0.3,0.7
2021-12-08,2,6.25,3.25,3.0,4,0.75,0.25
2021-12-09,3,5.0,2.2,2.8,10,0.2,0.8
2021-12-10,4,6.0,2.857142857142857,3.142857142857143,7,0.2857142857142857,0.7142857142857143
2021-12-11,5,5.25,2.8333333333333335,2.4166666666666665,12,0.5833333333333334,0.4166666666666667
2021-12-12,6,4.8,2.6,2.2,5,0.6,0.4
2021-12-14,1,5.916666666666667,2.6666666666666665,3.25,12,0.5,0.5
2021-12-15,2,6.333333333333333,3.6666666666666665,2.6666666666666665,3,0.6666666666666666,0.3333333333333333
2021-12-16,3,5.9,3.1,2.8,10,0.6,0.4
2021-12-17,4,6.333333333333333,3.0,3.3333333333333335,6,0.3333333333333333,0.6666666666666666
2021-12-18,5,7.0,4.2,2.8,5,0.8,0.2
2021-12-19,6,5.75,2.75,3.0,4,0.25,0.75
2021-12-20,0,11.0,7.0,4.0,1,1.0,0.0
2021-12-21,1,7.0,3.0,4.0,1,0.0,1.0
2021-12-28,1,11.0,5.333333333333333,5.666666666666667,3,0.6666666666666666,0.3333333333333333
2021-12-29,2,6.0,3.1666666666666665,2.8333333333333335,6,0.5,0.5
2021-12-30,3,6.571428571428571,4.285714285714286,2.2857142857142856,7,0.8571428571428571,0.14285714285714285
