gameID,gameDate,homeTeam,awayTeam,homeScore,awayScore,totalScore,winningTeam,losingTeam,gameType
2021010001,2021-09-25,Toronto Maple Leafs,Montréal Canadiens,4,1,5,Toronto Maple Leafs,Montréal Canadiens,PR
2021010002,2021-09-25,St. Louis Blues,Minnesota Wild,6,2,8,St. Louis Blues,Minnesota Wild,PR
2021010003,2021-09-26,Florida Panthers,Nashville Predators,5,4,9,Florida Panthers,Nashville Predators,PR
2021010004,2021-09-26,Washington Capitals,Boston Bruins,2,3,5,Boston Bruins,Washington Capitals,PR
2021010005,2021-09-26,Florida Panthers,Nashville Predators,3,1,4,Florida Panthers,Nashville Predators,PR
2021010006,2021-09-26,New York Rangers,New York Islanders,0,4,4,New York Islanders,New York Rangers,PR
2021010008,2021-09-26,Anaheim Ducks,San Jose Sharks,6,3,9,Anaheim Ducks,San Jose Sharks,PR
2021010007,2021-09-26,Winnipeg Jets,Ottawa Senators,2,3,5,Ottawa Senators,Winnipeg Jets,PR
2021010010,2021-09-26,Seattle Kraken,Vancouver Canucks,5,3,8,Seattle Kraken,Vancouver Canucks,PR
2021010009,2021-09-26,Calgary Flames,Edmonton Oilers,0,4,4,Edmonton Oilers,Calgary Flames,PR
2021010011,2021-09-26,Vegas Golden Knights,San Jose Sharks,2,4,6,San Jose Sharks,Vegas Golden Knights,PR
2021010012,2021-09-27,Montréal Canadiens,Toronto Maple Leafs,5,2,7,Montréal Canadiens,Toronto Maple Leafs,PR
2021010013,2021-09-27,Pittsburgh Penguins,Columbus Blue Jackets,0,3,3,Columbus Blue Jackets,Pittsburgh Penguins,PR
2021010014,2021-09-27,St. Louis Blues,Dallas Stars,2,1,3,St. Louis Blues,Dallas Stars,PR
2021010015,2021-09-27,Arizona Coyotes,Los Angeles Kings,2,1,3,Arizona Coyotes,Los Angeles Kings,PR
2021010016,2021-09-27,Vancouver Canucks,Calgary Flames,4,2,6,Vancouver Canucks,Calgary Flames,PR
